revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,last_subscription_revenue,last_interchange_revenue,last_banking_fees,last_deposit_interest_revenue,last_total_revenue,segment_company_share_pct
Active,Developer_IT,plus,persona_x_initial_plan,105,2146.39280913800000000000,4525.95155399997536027000,139.00000000000000000000,2034.67728783726029470203,8846.02165097523565497203,89.74
At-risk,Developer_IT,plus,persona_x_initial_plan,6,125.00000000000000000000,1.70999999999999310000,0.00000000000000000000,30.00249022356164702960,156.71249022356164012960,5.13
Churned proxy,Developer_IT,plus,persona_x_initial_plan,6,75.00000000000000000000,5.13163799999997310000,0.00000000000000000000,23.85193713863016581580,103.98357513863013891580,5.13
Active,Developer_IT,start,persona_x_initial_plan,616,5756.22798694300000200000,6454.46484179996501028000,2098.40000000000000000000,11286.07649001479488058041,25595.16931875775989286041,96.7
At-risk,Developer_IT,start,persona_x_initial_plan,13,125.93750000000000000000,20.99343599999989610000,0.60000000000000000000,73.63369314246576596128,221.16462914246566206128,2.04
Churned proxy,Developer_IT,start,persona_x_initial_plan,8,55.00000000000000000000,145.09310066324899690500,0.00000000000000000000,8.26726491726027749600,208.36036558050927440100,1.26
Active,Media_Publishing,business,persona_x_initial_plan,3,160.00000000000000000000,136.44413999999926600000,0.00000000000000000000,9.09398320054794508800,305.53812320054721108800,75.0
At-risk,Media_Publishing,business,persona_x_initial_plan,1,80.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00018859561643835618,80.00018859561643835618,25.0
Active,Media_Publishing,free,persona_x_initial_plan,272,141.11000000000000200000,1340.26508159999273464600,1138.36000000000000000000,1185.08313029095894914953,3804.81821189095168579553,93.79
At-risk,Media_Publishing,free,persona_x_initial_plan,13,0.00000000000000000000,20.90780999999989954100,2.40000000000000000000,11.92437332767123258786,35.23218332767113212886,4.48
Churned proxy,Media_Publishing,free,persona_x_initial_plan,5,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.66545836493150706768,0.66545836493150706768,1.72
