month_start,persona,initial_subscription_group,segment_level,revenue_type,prior_revenue,dropped_prior_revenue,one_month_gross_revenue_dropout_pct
2025-11-01,BTP,business,persona_x_initial_plan,Subscription,0.00000000000000000000,0.00000000000000000000,
2025-11-01,BTP,business,persona_x_initial_plan,Total revenue,743.89655500790343935000,167.50347587832482910000,22.52
2025-11-01,BTP,free,persona_x_initial_plan,Banking fees,540.00000000000000000000,122.00000000000000000000,22.59
2025-11-01,BTP,free,persona_x_initial_plan,Deposit interest,654.23399662904107805090,7.79800684054794456650,1.19
2025-11-01,BTP,free,persona_x_initial_plan,Interchange,863.72852959903144439300,150.53319340016029000000,17.43
2025-11-01,BTP,free,persona_x_initial_plan,Subscription,0.00000000000000000000,0.00000000000000000000,
2025-11-01,BTP,free,persona_x_initial_plan,Total revenue,2057.96252622807252244390,280.33120024070823456650,13.62
2025-11-01,BTP,plus,persona_x_initial_plan,Banking fees,378.00000000000000000000,0.00000000000000000000,0.0
2025-11-01,BTP,plus,persona_x_initial_plan,Deposit interest,293.75983710739724207613,3.04581254794520567100,1.04
2025-11-01,BTP,plus,persona_x_initial_plan,Interchange,1436.89313033541545307000,228.77735427191703400000,15.92
2025-11-01,BTP,plus,persona_x_initial_plan,Subscription,5.62500000000000000000,0.00000000000000000000,0.0
2025-11-01,BTP,plus,persona_x_initial_plan,Total revenue,2114.27796744281269514613,231.82316681986223967100,10.96
2025-11-01,BTP,start,persona_x_initial_plan,Banking fees,672.00000000000000000000,0.00000000000000000000,0.0
2025-11-01,BTP,start,persona_x_initial_plan,Deposit interest,850.10967476767124548765,0.04422794520547944780,0.01
2025-11-01,BTP,start,persona_x_initial_plan,Interchange,570.96881441887632768000,0.00000000000000000000,0.0
2025-11-01,BTP,start,persona_x_initial_plan,Subscription,66.40625000000000000000,0.00000000000000000000,0.0
2025-11-01,BTP,start,persona_x_initial_plan,Total revenue,2159.48473918654757316765,0.04422794520547944780,0.0
2025-11-01,Bankers_Insurance,business,persona_x_initial_plan,Banking fees,,,
2025-11-01,Bankers_Insurance,business,persona_x_initial_plan,Deposit interest,,,
2025-11-01,Bankers_Insurance,business,persona_x_initial_plan,Interchange,,,
2025-11-01,Bankers_Insurance,business,persona_x_initial_plan,Subscription,,,
2025-11-01,Bankers_Insurance,business,persona_x_initial_plan,Total revenue,,,
2025-11-01,Bankers_Insurance,free,persona_x_initial_plan,Banking fees,276.00000000000000000000,0.00000000000000000000,0.0
2025-11-01,Bankers_Insurance,free,persona_x_initial_plan,Deposit interest,23.11712315013698272220,0.04045945205479451600,0.18
2025-11-01,Bankers_Insurance,free,persona_x_initial_plan,Interchange,0.00000000000000000000,0.00000000000000000000,
2025-11-01,Bankers_Insurance,free,persona_x_initial_plan,Subscription,0.00000000000000000000,0.00000000000000000000,
2025-11-01,Bankers_Insurance,free,persona_x_initial_plan,Total revenue,299.11712315013698272220,0.04045945205479451600,0.01
2025-11-01,Bankers_Insurance,plus,persona_x_initial_plan,Banking fees,,,
2025-11-01,Bankers_Insurance,plus,persona_x_initial_plan,Deposit interest,,,
2025-11-01,Bankers_Insurance,plus,persona_x_initial_plan,Interchange,,,
2025-11-01,Bankers_Insurance,plus,persona_x_initial_plan,Subscription,,,
2025-11-01,Bankers_Insurance,plus,persona_x_initial_plan,Total revenue,,,
2025-11-01,Bankers_Insurance,start,persona_x_initial_plan,Banking fees,143.06000000000000000000,,
2025-11-01,Bankers_Insurance,start,persona_x_initial_plan,Deposit interest,4.83044673643835619000,,
2025-11-01,Bankers_Insurance,start,persona_x_initial_plan,Interchange,252.53642193246836006000,,
2025-11-01,Bankers_Insurance,start,persona_x_initial_plan,Subscription,20.46875000000000000000,,
2025-11-01,Bankers_Insurance,start,persona_x_initial_plan,Total revenue,420.89561866890671625000,,
2025-11-01,Bikers_Drivers,business,persona_x_initial_plan,Banking fees,138.00000000000000000000,,
2025-11-01,Bikers_Drivers,business,persona_x_initial_plan,Deposit interest,71.47720615506849267970,,
2025-11-01,Bikers_Drivers,business,persona_x_initial_plan,Interchange,87.70934475144056100000,,
2025-11-01,Bikers_Drivers,business,persona_x_initial_plan,Subscription,0.00000000000000000000,,
2025-11-01,Bikers_Drivers,business,persona_x_initial_plan,Total revenue,297.18655090650905367970,,
2025-11-01,Bikers_Drivers,free,persona_x_initial_plan,Banking fees,760.00000000000000000000,122.00000000000000000000,16.05
2025-11-01,Bikers_Drivers,free,persona_x_initial_plan,Deposit interest,18.06228800602739666702,1.62453746684931525850,8.99
2025-11-01,Bikers_Drivers,free,persona_x_initial_plan,Interchange,222.78137949479908834000,160.06398686407867084000,71.85
2025-11-01,Bikers_Drivers,free,persona_x_initial_plan,Subscription,0.00000000000000000000,0.00000000000000000000,
2025-11-01,Bikers_Drivers,free,persona_x_initial_plan,Total revenue,1000.84366750082648500702,283.68852433092798609850,28.34
2025-11-01,Bikers_Drivers,plus,persona_x_initial_plan,Banking fees,118.00000000000000000000,0.00000000000000000000,0.0
2025-11-01,Bikers_Drivers,plus,persona_x_initial_plan,Deposit interest,23.78432826739725852490,0.53497007616438350920,2.25
2025-11-01,Bikers_Drivers,plus,persona_x_initial_plan,Interchange,617.12767549788502549000,84.98884021604921200000,13.77
2025-11-01,Bikers_Drivers,plus,persona_x_initial_plan,Subscription,16.25000000000000000000,0.00000000000000000000,0.0
2025-11-01,Bikers_Drivers,plus,persona_x_initial_plan,Total revenue,775.16200376528228401490,85.52381029221359550920,11.03
2025-11-01,Bikers_Drivers,start,persona_x_initial_plan,Banking fees,650.00000000000000000000,118.00000000000000000000,18.15
2025-11-01,Bikers_Drivers,start,persona_x_initial_plan,Deposit interest,10.81300965643835623888,0.12052772602739727862,1.11
2025-11-01,Bikers_Drivers,start,persona_x_initial_plan,Interchange,239.78036236728894742300,14.70207522208231800000,6.13
2025-11-01,Bikers_Drivers,start,persona_x_initial_plan,Subscription,14.21875000000000000000,0.00000000000000000000,0.0
2025-11-01,Bikers_Drivers,start,persona_x_initial_plan,Total revenue,914.81212202372730366188,132.82260294810971527862,14.52
2025-11-01,Cleaning_CallCenters,business,persona_x_initial_plan,Banking fees,,,
2025-11-01,Cleaning_CallCenters,business,persona_x_initial_plan,Deposit interest,,,
2025-11-01,Cleaning_CallCenters,business,persona_x_initial_plan,Interchange,,,
