reporting_month,persona,initial_subscription_group,segment_level,revenue_companies_two_months_prior,confirmed_two_month_inactive_companies,base_month_revenue,revenue_from_confirmed_inactive_companies,confirmed_two_month_inactivity_rate_pct,confirmed_two_month_revenue_rate_pct
2026-01-01,BTP,ALL,persona,678,18,37451.38422406024718230137,587.89795947973906411907,2.65,1.57
2026-01-01,Bankers_Insurance,ALL,persona,46,2,1315.54659899533135767830,149.61575532261908659000,4.35,11.37
2026-01-01,Bikers_Drivers,ALL,persona,247,22,8357.34738995968362365995,1146.04416588115750223011,8.91,13.71
2026-01-01,Cleaning_CallCenters,ALL,persona,22,0,621.47246890992193310958,,0.0,
2026-01-01,Consultant,ALL,persona,633,12,19397.21295246932085177623,57.31176497250403734381,1.9,0.3
2026-01-01,Developer_IT,ALL,persona,314,10,11214.93035414679655422977,1516.48670947560579659500,3.18,13.52
2026-01-01,Media_Publishing,ALL,persona,121,1,4141.46512087032933295380,0.02197917808219178000,0.83,0.0
2026-01-01,Medical_Professionals,ALL,persona,43,0,469.27921096920548699200,,0.0,
2026-01-01,Others,ALL,persona,544,19,12354.71968269589363759397,461.14111591182573762681,3.49,3.73
2026-01-01,Professeur,ALL,persona,108,4,1712.00201144346665813440,13.53685937135252723002,3.7,0.79
2026-01-01,Repair,ALL,persona,23,2,294.07434259230702640863,0.00157910136986301413,8.7,0.0
2026-01-01,Repair_Installation,ALL,persona,9,0,273.96348598877871716600,,0.0,
2026-01-01,Restauration,ALL,persona,86,4,3136.09928481625359788080,8.88149373366749357300,4.65,0.28
2026-01-01,Retail,ALL,persona,474,14,14290.30534378326199290599,146.69004346497344664551,2.95,1.03
2026-01-01,Wholesale,ALL,persona,84,2,2936.68716846284510406347,12.56033381753424664830,2.38,0.43
2026-01-01,Automobile_Trade_Repair,business,persona_x_initial_plan,10,2,958.61372078501615240775,90.05315939968038703400,20.0,9.39
2026-01-01,Automobile_Trade_Repair,free,persona_x_initial_plan,44,1,1178.99591998506881758210,0.04849705643835617400,2.27,0.0
2026-01-01,Automobile_Trade_Repair,plus,persona_x_initial_plan,38,1,2636.20007661876689583050,25.05609872735665546290,2.63,0.95
2026-01-01,Automobile_Trade_Repair,start,persona_x_initial_plan,54,3,1120.47654335898616510570,34.37882564821917818190,5.56,3.07
