inactive_months,persona,initial_subscription_group,segment_level,spells_reaching_inactivity_threshold,eventually_returned_in_observed_window,unresolved_at_april_cutoff,spells_with_1_month_followup,returned_within_next_1_month,spells_with_2_month_followup,returned_within_next_2_months,observed_return_lower_bound_pct,return_within_next_1_month_pct,return_within_next_2_months_pct
2,Wholesale,business,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
2,Wholesale,free,persona_x_initial_plan,8,0,8,4,0,2,0,0.0,0.0,0.0
2,Wholesale,plus,persona_x_initial_plan,6,0,6,5,0,2,0,0.0,0.0,0.0
2,Wholesale,start,persona_x_initial_plan,9,0,9,4,0,1,0,0.0,0.0,0.0
3,ALL,business,initial_plan,51,0,51,39,0,10,0,0.0,0.0,0.0
3,ALL,free,initial_plan,237,9,228,134,8,55,4,3.8,6.0,7.3
3,ALL,plus,initial_plan,128,4,124,77,3,34,1,3.1,3.9,2.9
3,ALL,start,initial_plan,228,3,225,113,2,43,2,1.3,1.8,4.7
3,ALL,ALL,overall,644,16,628,363,13,142,7,2.5,3.6,4.9
3,Automobile_Trade_Repair,ALL,persona,35,1,34,18,1,7,0,2.9,5.6,0.0
3,BTP,ALL,persona,112,3,109,68,2,28,1,2.7,2.9,3.6
3,Bankers_Insurance,ALL,persona,10,0,10,5,0,2,0,0.0,0.0,0.0
3,Bikers_Drivers,ALL,persona,89,0,89,61,0,26,0,0.0,0.0,0.0
3,Cleaning_CallCenters,ALL,persona,1,0,1,1,0,0,0,0.0,0.0,
3,Consultant,ALL,persona,78,4,74,45,3,15,3,5.1,6.7,20.0
3,Developer_IT,ALL,persona,43,2,41,25,2,13,1,4.7,8.0,7.7
3,Media_Publishing,ALL,persona,11,2,9,6,1,1,1,18.2,16.7,100.0
3,Medical_Professionals,ALL,persona,3,0,3,0,0,0,0,0.0,,
3,Others,ALL,persona,108,1,107,62,1,22,0,0.9,1.6,0.0
3,Professeur,ALL,persona,15,0,15,7,0,4,0,0.0,0.0,0.0
3,Repair,ALL,persona,8,0,8,4,0,2,0,0.0,0.0,0.0
3,Restauration,ALL,persona,18,1,17,9,1,4,0,5.6,11.1,0.0
3,Retail,ALL,persona,100,2,98,47,2,16,1,2.0,4.3,6.3
3,Wholesale,ALL,persona,13,0,13,5,0,2,0,0.0,0.0,0.0
3,Automobile_Trade_Repair,business,persona_x_initial_plan,3,0,3,2,0,2,0,0.0,0.0,0.0
3,Automobile_Trade_Repair,free,persona_x_initial_plan,7,0,7,6,0,1,0,0.0,0.0,0.0
3,Automobile_Trade_Repair,plus,persona_x_initial_plan,9,1,8,3,1,1,0,11.1,33.3,0.0
3,Automobile_Trade_Repair,start,persona_x_initial_plan,16,0,16,7,0,3,0,0.0,0.0,0.0
3,BTP,business,persona_x_initial_plan,13,0,13,8,0,2,0,0.0,0.0,0.0
3,BTP,free,persona_x_initial_plan,35,1,34,19,1,6,0,2.9,5.3,0.0
3,BTP,plus,persona_x_initial_plan,28,2,26,20,1,12,1,7.1,5.0,8.3
3,BTP,start,persona_x_initial_plan,36,0,36,21,0,8,0,0.0,0.0,0.0
3,Bankers_Insurance,free,persona_x_initial_plan,7,0,7,4,0,1,0,0.0,0.0,0.0
3,Bankers_Insurance,start,persona_x_initial_plan,3,0,3,1,0,1,0,0.0,0.0,0.0
3,Bikers_Drivers,business,persona_x_initial_plan,7,0,7,5,0,2,0,0.0,0.0,0.0
3,Bikers_Drivers,free,persona_x_initial_plan,31,0,31,21,0,8,0,0.0,0.0,0.0
