revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,segment_company_share_pct,revenue_type,last_observed_revenue
Churned proxy,Consultant,ALL,persona,74,2.41,Total revenue,1894.83100543980389772691
Active,Developer_IT,ALL,persona,1336,93.49,Banking fees,6585.00000000000000000000
Active,Developer_IT,ALL,persona,1336,93.49,Deposit interest,23420.45107864328851736374
Active,Developer_IT,ALL,persona,1336,93.49,Interchange,15719.14628459991496737754
Active,Developer_IT,ALL,persona,1336,93.49,Subscription,9027.18829608100000000000
Active,Developer_IT,ALL,persona,1336,93.49,Total revenue,54751.78565932420348474128
At-risk,Developer_IT,ALL,persona,52,3.64,Banking fees,282.16000000000000000000
At-risk,Developer_IT,ALL,persona,52,3.64,Deposit interest,150.38289616547946932693
At-risk,Developer_IT,ALL,persona,52,3.64,Interchange,163.14123779999930537000
At-risk,Developer_IT,ALL,persona,52,3.64,Subscription,512.58750000000000000000
At-risk,Developer_IT,ALL,persona,52,3.64,Total revenue,1108.27163396547877469693
Churned proxy,Developer_IT,ALL,persona,41,2.87,Banking fees,281.04000000000000000000
Churned proxy,Developer_IT,ALL,persona,41,2.87,Deposit interest,62.39390127506853329746
Churned proxy,Developer_IT,ALL,persona,41,2.87,Interchange,1537.10848836845454448500
Churned proxy,Developer_IT,ALL,persona,41,2.87,Subscription,210.00000000000000000000
Churned proxy,Developer_IT,ALL,persona,41,2.87,Total revenue,2090.54238964352307778246
Active,Media_Publishing,ALL,persona,613,94.89,Banking fees,3361.72000000000000000000
Active,Media_Publishing,ALL,persona,613,94.89,Deposit interest,7000.33800140547982502974
Active,Media_Publishing,ALL,persona,613,94.89,Interchange,6635.38408019996349018700
Active,Media_Publishing,ALL,persona,613,94.89,Subscription,3886.23021848700000200000
Active,Media_Publishing,ALL,persona,613,94.89,Total revenue,20883.67230009244331721674
At-risk,Media_Publishing,ALL,persona,24,3.72,Banking fees,28.52000000000000000000
At-risk,Media_Publishing,ALL,persona,24,3.72,Deposit interest,13.24321207671232871661
At-risk,Media_Publishing,ALL,persona,24,3.72,Interchange,39.90017699999980594100
At-risk,Media_Publishing,ALL,persona,24,3.72,Subscription,135.00000000000000000000
At-risk,Media_Publishing,ALL,persona,24,3.72,Total revenue,216.66338907671213465761
Churned proxy,Media_Publishing,ALL,persona,9,1.39,Banking fees,138.00000000000000000000
Churned proxy,Media_Publishing,ALL,persona,9,1.39,Deposit interest,28.93281298684931220431
Churned proxy,Media_Publishing,ALL,persona,9,1.39,Interchange,0.03360067980960969300
Churned proxy,Media_Publishing,ALL,persona,9,1.39,Subscription,47.00000000000000000000
Churned proxy,Media_Publishing,ALL,persona,9,1.39,Total revenue,213.96641366665892189731
Active,Medical_Professionals,ALL,persona,213,95.95,Banking fees,311.39999999999999960000
Active,Medical_Professionals,ALL,persona,213,95.95,Deposit interest,3043.29831469972597938550
Active,Medical_Professionals,ALL,persona,213,95.95,Interchange,2162.91329999998827560400
Active,Medical_Professionals,ALL,persona,213,95.95,Subscription,1220.93548387100000000000
Active,Medical_Professionals,ALL,persona,213,95.95,Total revenue,6738.54709857071425458950
At-risk,Medical_Professionals,ALL,persona,6,2.7,Banking fees,6.00000000000000000000
At-risk,Medical_Professionals,ALL,persona,6,2.7,Deposit interest,2.75838507123287736014
At-risk,Medical_Professionals,ALL,persona,6,2.7,Interchange,0.51299999999999757000
At-risk,Medical_Professionals,ALL,persona,6,2.7,Subscription,0.00000000000000000000
At-risk,Medical_Professionals,ALL,persona,6,2.7,Total revenue,9.27138507123287493014
Churned proxy,Medical_Professionals,ALL,persona,3,1.35,Banking fees,0.00000000000000000000
Churned proxy,Medical_Professionals,ALL,persona,3,1.35,Deposit interest,2.80921698630136975000
Churned proxy,Medical_Professionals,ALL,persona,3,1.35,Interchange,0.00000000000000000000
