activation_month,observation_month,months_since_activation,segment_level,persona,initial_subscription_group,activated_cohort_size,active_companies,at_risk_companies,churned_proxy_companies,never_monetized_companies,active_share_pct,at_risk_share_pct,churned_proxy_share_pct,never_monetized_share_pct,subscription_revenue,interchange_revenue,banking_fees,deposit_interest_revenue,total_revenue,revenue_per_original_activated_company
2025-12-01,2026-02-01,2,persona,Wholesale,ALL,67,63,3,0,1,94.03,4.48,0.0,1.49,1179.44000000000000000000,775.02494159999699666000,44.00000000000000000000,842.13905028383565805540,2840.60399188383265471540,42.397074505728845
2025-12-01,2026-02-01,2,persona_x_initial_plan,Automobile_Trade_Repair,business,4,4,0,0,0,100.0,0.0,0.0,0.0,320.00000000000000000000,294.86678399999883520000,1.46000000000000000000,128.86873973041096482500,745.19552373040980002500,186.29888093260246
2025-12-01,2026-02-01,2,persona_x_initial_plan,Automobile_Trade_Repair,free,30,27,2,0,1,90.0,6.67,0.0,3.33,11.00000000000000000000,147.37231799999943059000,42.85999999999999940000,65.05574534739726590663,266.28806334739669589663,8.876268778246557
2025-12-01,2026-02-01,2,persona_x_initial_plan,Automobile_Trade_Repair,plus,25,20,5,0,0,80.0,20.0,0.0,0.0,473.33333333300000000000,790.93110599999680295000,12.00000000000000000000,365.84728318465759384870,1642.11172251765439679870,65.68446890070618
2025-12-01,2026-02-01,2,persona_x_initial_plan,Automobile_Trade_Repair,start,64,58,5,0,1,90.63,7.81,0.0,1.56,616.00000000000000000000,2346.91774559999067477300,122.70000000000000000000,355.40891332383566589996,3441.02665892382634067296,53.766041545684786
2025-12-01,2026-02-01,2,persona_x_initial_plan,BTP,business,21,15,6,0,0,71.43,28.57,0.0,0.0,1190.00000000000000000000,2861.74538999998821840000,10.00000000000000000000,248.07244011342469834440,4309.81783011341291674440,205.2294204815911
2025-12-01,2026-02-01,2,persona_x_initial_plan,BTP,free,175,162,13,0,0,92.57,7.43,0.0,0.0,84.80428571400000000000,2079.87447239999183255300,240.92000000000000000000,3024.93615907397261397820,5430.53491718796444653120,31.031628098216938
2025-12-01,2026-02-01,2,persona_x_initial_plan,BTP,plus,96,93,3,0,0,96.88,3.13,0.0,0.0,2426.54666666600000000000,4918.03310519998103981600,173.42000000000000000000,1333.16094769643862259324,8851.16071956241966240924,92.19959082877521
2025-12-01,2026-02-01,2,persona_x_initial_plan,BTP,start,169,162,7,0,0,95.86,4.14,0.0,0.0,1703.99105263200000000000,6494.32054079997440950000,320.60000000000000001800,2409.30035714465784231359,10928.21195057663225183159,64.66397603891498
2025-12-01,2026-02-01,2,persona_x_initial_plan,Bankers_Insurance,free,26,22,4,0,0,84.62,15.38,0.0,0.0,0.00000000000000000000,9.54633599999996214000,4.00000000000000000000,503.78814857917813747300,517.33448457917809961300,19.897480176122237
